input_statement,statement_type,A,D,I,B,C,O
or using third-party utilities.,unknown,,,,,,
"- In particular, you should make sure that there are no nicknames and paths in the binaries",norm,you,should,make sure,there are no nicknames and paths in the binaries,,
(like d:\work\Vasya Ivanov\project\project.pdb).,unknown,,,,,,
- check if there is no reference to debugging information in Release_nologs,unknown,,,,,,
(IDA Pro displays a window with a suggestion to connect debugging symbols at the beginning of file parsing),unknown,,,,,,
- check the file on dyncheck.com for static analysis.,unknown,,,,,,
Do NOT run dynamic analysis!,rule,you,not allowed to,run,dynamic analysis,,
Allowable detector counts:,unknown,,,,,,
* x86 - up to 6 detects,unknown,,,,,,
* x64 - up to 3 detects,unknown,,,,,,
!!!,unknown,,,,,,
DO NOT check detections on virustotal.com!!!!,rule,implied actor,do not,check,detections,on virustotal.com,
DISTRIBUTION,unknown,,,,,,
Builds are issued as an encrypted .rar archive with a password length of at least 16 characters.,explanation,,,issue,encrypted .rar archive,with a password length of at least 16 characters,
"The password must be strong (different character cases, alpha and numerals, punctuation marks, etc.).",norm,,must,be strong,password,"(different character cases, alpha and numerals, punctuation marks, etc.)",
FILE NAMES IN THE ARCHIVE MUST BE ENCRYPTED.,rule,,must,encrypt,file names in the archive,,
The archive name should be non-speaking.,norm,,should,be,non-speaking,archive name,
modulename.22.09.2010.rar - bad name,unknown,,,,,,
c.rar - good name,unknown,,,,,,
GIT POLICY,unknown,,,,,,
IN GIT COMMIT WHENEVER THERE IS SOMETHING TO COMMIT.,rule,implied actor,,commit,something to commit,in Git whenever there is something to commit,
IT'S A GUARANTEE THAT,unknown,,,,,,
NO WORK WILL BE LOST.,explanation,,,,,,
IT'S A GUARANTEE THAT WORK WON'T BE LOST.,explanation,,,,,,
IT'S A GUARANTEE THAT JOBS WON'T BE LOST.,explanation,,,,,,
"If you write code every day, you commit every day.",explanation,you,,"write code, commit",,every day,
You should commit EVERY code that is not working - just do it in a separate branch and merge it into the main branch after stabilization.,norm,you,should,"commit, do",code that is not working,"in a separate branch, then merge into the main branch after stabilization",
IT IS FORBIDDEN TO COMMIT:,rule,implied actor,forbidden,commit,,,
- archives,unknown,,,,,,
"- files with logins, passwords, URLs and IP addresses, names, addresses, phone numbers of anyone you know, as well as their hashes.",unknown,,,,,,
"(this does not apply if the file is taken from public, some demo, URL leads to public, etc.)",unknown,,,,,,
"- binary garbage (.obj, .suo, .sdf and other intermediate files of Visual Studio and other IDEs)",unknown,,,,,,
"- build results - project output files (.exe, etc.)",unknown,,,,,,
Why do you need version control systems (and git in particular)?,unknown,,,,,,
- as a means of backup (protects against losing a day's work),explanation,,,,,,
- as a means of centralized code storage and mobility (access from anywhere and from any machine),explanation,,,,,"as a means of centralized code storage and mobility, access from anywhere and from any machine",
- memory and history (answer to the question:,unknown,,,,,,
WHY THIS DAMN STORY WAS WRITTEN),unknown,,,,,,
Believe me - in six months at most you won't remember why that fucking line was written.,explanation,,,,,,
If you got the project after someone else - it's mission impossible.,unknown,,,,,,
Almost all modern version control tools have a blame function to solve this problem.,explanation,,,,,,
For example,unknown,,,,,,
git blame src/file.cpp,unknown,,,,,,
"will show the author, date and commit number of each line of the specified file.",explanation,,,show,"author, date and commit number of each line of the specified file",,
And all this is integrated into Visual Studio,explanation,,,,,,
(right-click on the file in Solution Explorer -> Blame (notes)).,unknown,,,,,,
"In order to see something clear there, instead of ""some update"", you should",explanation,,should,,,"in order to see something clear there, instead of some update",
- write clear comments for commits;,unknown,,,,,,
"- commit a couple of lines at a time, instead of committing a huge bundle of files at the end of the week with a ""."" comment;",explanation,implied actor,,commit,a couple of lines,"at a time, instead of committing a huge bundle of files at the end of the week with a '.' comment",
"- commit only those files that were affected by the fix (instead of hacking the whole directory with the comment ""commit"", what's the big deal,",explanation,,,,,,
"whatever, it doesn't matter that old forgotten crap that's been in the project for god knows how long has been there)",unknown,,,,,,
"- use the diff tool (or rather its visual analog, such as the merge tool built into Visual Studio) when creating a commit",explanation,,,use,the diff tool,when creating a commit,
It follows that you should commit often:,explanation,you,should,commit,often,,
"- fixed a bug - immediately commit only the files related to it with the comment ""fixed the stack overflow bug in function so-and-so for this reason and that reason"".",unknown,,,,,,
"- wrote a feature - immediately commit only the files concerning it with the comment ""implementation of non-interactive HTTP-client"".",unknown,,,,,,
"And then, looking up the history of changes in the file, you will see the reason why this line was written, as well as the RELATIONSHIP of this line with other parts of the code.",explanation,,,,,,
"Of course, you may not do all this because you are too lazy to study, and all that.",explanation,you,,,,,
But who are you then?,unknown,,,,,,
APPENDIX 1.,unknown,,,,,,
AUTOMATIC PUBLISHING SCRIPT,unknown,,,,,,
Following is an example .bat command script for publishing an assembly.,unknown,,,,,,
@echo off,unknown,,,,,,
rem usage: publish_build.bat,unknown,,,,,,
SetLocal EnableDelayedExpansion,unknown,,,,,,
set outdir=f:temp,unknown,,,,,,
set srcdir=f:\Projects\project\Bin,unknown,,,,,,
for /f,unknown,,,,,,
%,unknown,,,,,,
"%%x in ('wmic path win32_localtime get /format:list ^| findstr ""=""') do set %%x",unknown,,,,,,
set today=%Day%.%Month%.%Year%,unknown,,,,,,
set outdir=%outdir%\g%today%,unknown,,,,,,
echo %outdir%,unknown,,,,,,
if not exist %outdir% goto :startcopy,unknown,,,,,,
set /a x=2,unknown,,,,,,
:while,unknown,,,,,,
if %x% lss 100 (,unknown,,,,,,
echo %x%,unknown,,,,,,
set /a x+=1,unknown,,,,,,
if %outdir%.%x% does not exist (,unknown,,,,,,
set outdir=%outdir%.%x%,unknown,,,,,,
goto :startcopy,unknown,,,,,,
),unknown,,,,,,
goto :while,unknown,,,,,,
),unknown,,,,,,
),unknown,,,,,,
:startcopy,unknown,,,,,,
mkdir %outdir%,unknown,,,,,,
mkdir %outdir%\logged,unknown,,,,,,
mkdir %outdir%\logged\Release.x86,unknown,,,,,,
mkdir %outdir%\logged\Release.x64,unknown,,,,,,
xcopy /Y,unknown,,,,,,
%srcdir%\x86\Release_logged\module.dll %outdir%\logged\Release.x86,unknown,,,,,,
xcopy /Y,unknown,,,,,,
%srcdir%\x86\Release_logged\loader-test.exe %outdir%\logged\Release.x86,unknown,,,,,,
xcopy /Y,unknown,,,,,,
%srcdir%\x64\Release_logged\module.dll %outdir%\logged\Release.x64,unknown,,,,,,
xcopy /Y,unknown,,,,,,
%srcdir%\x64\Release_logged\loader-test.exe %outdir%\logged\Release.x64,unknown,,,,,,
mkdir %outdir%\not_logged.,unknown,,,,,,
mkdir %outdir%\not_logged\Release.x86,unknown,,,,,,
mkdir %outdir%\not_logged\Release.x64,unknown,,,,,,
xcopy /Y,unknown,,,,,,
%srcdir%\x86\Release_nologs\module.dll %outdir%\not_logged\Release.x86,unknown,,,,,,
xcopy /Y,unknown,,,,,,
%srcdir%\x86\Release_nologs\loader-test.exe %outdir%\not_logged\Release.x86,unknown,,,,,,
xcopy /Y,unknown,,,,,,
%srcdir%\x64\Release_nologs\module.dll %outdir%\not_logged\Release.x64,unknown,,,,,,
xcopy /Y,unknown,,,,,,
%srcdir%\x64\Release_nologs\loader-test.exe %outdir%\not_logged\Release.x64,unknown,,,,,,
xcopy /Y,unknown,,,,,,
%srcdir%\..\RELEASE_NOTES.txt %outdir%,unknown,,,,,,
xcopy /Y,unknown,,,,,,
%srcdir%\..\readme.user.txt %outdir%,unknown,,,,,,
EndLocal,unknown,,,,,,
